filepath,class_name,label_idx,crop_name,disease_name,is_healthy
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Grape___Black_rot\50b94540-6e19-4dc1-9562-4d005bc609c8___FAM_B.Rot 0439.JPG,Grape___Black_rot,11,Grape,Black Rot,False
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Apple___healthy\3100088b-5df1-43b2-a1d9-8ff1d414b67b___RS_HL 5834.JPG,Apple___healthy,3,Apple,Healthy,True
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Strawberry___Leaf_scorch\313768fa-601a-47f5-a47d-9bb9c2d1b97e___RS_L.Scorch 1251.JPG,Strawberry___Leaf_scorch,26,Strawberry,Leaf Scorch,False
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Strawberry___healthy\20a44f54-5534-4eed-9240-b1a6eb8ce4e1___RS_HL 1708.JPG,Strawberry___healthy,27,Strawberry,Healthy,True
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Apple___Black_rot\8c033a16-bdf6-46ee-ac3b-2d84a6940950___JR_FrgE.S 8614.JPG,Apple___Black_rot,1,Apple,Black Rot,False
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Blueberry___healthy\c8352fda-4d78-40d1-b626-c25959cd62c0___RS_HL 0350.JPG,Blueberry___healthy,4,Blueberry,Healthy,True
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Squash___Powdery_mildew\83f99cf0-941e-4afd-9f56-8849c3503a75___UMD_Powd.M 0240.JPG,Squash___Powdery_mildew,25,Squash,Powdery Mildew,False
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Apple___healthy\a0167593-6219-479d-9e28-161dfea5b19a___RS_HL 5790.JPG,Apple___healthy,3,Apple,Healthy,True
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Cherry_(including_sour)___healthy\4ec2d760-cc99-4368-b94d-637022f8ea12___JR_HL 9538.JPG,Cherry_(including_sour)___healthy,6,Cherry (Including Sour),Healthy,True
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Cherry_(including_sour)___Powdery_mildew\e85d24e4-9a7b-42cb-95fe-d76ca9d86180___FREC_Pwd.M 4930.JPG,Cherry_(including_sour)___Powdery_mildew,5,Cherry (Including Sour),Powdery Mildew,False
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Grape___Black_rot\15c4e53d-7eb2-4a69-8060-81bfd6ccc4a3___FAM_B.Rot 3610.JPG,Grape___Black_rot,11,Grape,Black Rot,False
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Peach___healthy\df27e876-1152-4b9f-869b-f88e62a53ad2___Rutg._HL 3653.JPG,Peach___healthy,17,Peach,Healthy,True
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Tomato___Bacterial_spot\c0f90bbb-d9ac-4ed6-9e3c-296c17ce42a2___GCREC_Bact.Sp 3808.JPG,Tomato___Bacterial_spot,28,Tomato,Bacterial Spot,False
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Apple___Apple_scab\1a4047d7-23d6-4bba-ba10-b6e7005ea01b___FREC_Scab 3193.JPG,Apple___Apple_scab,0,Apple,Apple Scab,False
"D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Pepper,_bell___Bacterial_spot\12342367-f62b-40d0-897b-77bd1edbd3d1___JR_B.Spot 3199.JPG","Pepper,_bell___Bacterial_spot",18,"Pepper, Bell",Bacterial Spot,False
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Cherry_(including_sour)___Powdery_mildew\226bc7bb-e0ba-4c98-b7f6-cef16129a3d8___FREC_Pwd.M 4883.JPG,Cherry_(including_sour)___Powdery_mildew,5,Cherry (Including Sour),Powdery Mildew,False
"D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Pepper,_bell___Bacterial_spot\937f93b6-2ecd-4129-9995-e0473d498335___NREC_B.Spot 9045.JPG","Pepper,_bell___Bacterial_spot",18,"Pepper, Bell",Bacterial Spot,False
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\53788a56-dfa1-4761-a4d7-0ae813a0b18b___YLCV_NREC 0118.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,35,Tomato,Tomato Yellow Leaf Curl Virus,False
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Peach___healthy\cb2693e0-8ddf-4a94-a894-23d567efd762___Rutg._HL 3562.JPG,Peach___healthy,17,Peach,Healthy,True
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Tomato___Spider_mites Two-spotted_spider_mite\49d75a64-a635-4ad0-bb8d-09678e63fd02___Com.G_SpM_FL 1736.JPG,Tomato___Spider_mites Two-spotted_spider_mite,33,Tomato,Spider Mites Two-Spotted Spider Mite,False
D:\Major Project sem 6 spit - Copy\Smart_Agri_Assistant\data\external\plantvillage dataset\color\Corn_(maize)___Common_rust_\RS_Rust 1910.JPG,Corn_(maize)___Common_rust_,8,Corn (Maize),Common Rust,False
